番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2),,,
317,-0.704278,-0.913219,-0.905891,-0.007328,-42.700243,,,-1714.409
318,-0.75354,0.414744,0.419759,-0.005014,-45.995658,,,-753.034
319,0.703602,0.077173,0.076731,0.000442,-67.095359,,,1492.493
320,0.718053,-0.372432,-0.372424,-0.000008,-101.577964,,,497.9
321,-1.258972,1.028147,1.02128,0.006867,-43.264685,,,-822.913
322,0.738733,-0.994903,-1.004004,0.009101,-40.818211,,,1406.989
323,-0.20917,-0.352471,-0.361539,0.009068,-40.850208,,,-634.882
324,2.105121,0.970107,0.960684,0.009423,-40.516215,,,1226.918
325,0.081025,-0.142433,-0.145102,0.002669,-51.471587,,,1075.132
326,-0.583692,-0.80181,-0.801161,-0.000649,-63.753901,,,1123.016
327,1.156846,0.766685,0.767841,-0.001157,-58.736547,,,813.016
328,0.593859,-0.18369,-0.182087,-0.001603,-55.900894,,,-162.78
329,0.313488,1.605599,1.611375,-0.005776,-44.768089,,,105.721
330,1.32654,-0.979536,-0.976756,-0.00278,-51.119862,,,-766.211
331,0.717249,-0.078549,-0.080536,0.001987,-54.03556,,,-196.265
332,1.339396,0.984476,0.987267,-0.00279,-51.086898,,,-1295.676
333,-0.9022,0.00041,-0.002754,0.003164,-49.995828,,,310.523
334,0.541784,0.125355,0.124506,0.000849,-61.42322,,,-1208.577
335,-0.361311,0.899377,0.899073,0.000304,-70.34192,,,-1108.139
336,0.27638,0.102715,0.102424,0.000291,-70.72498,,,-1159.757
337,-0.263737,0.658634,0.658342,0.000292,-70.685667,,,621.705
338,-1.118266,-1.157205,-1.153786,-0.003419,-49.322473,,,42.957
339,0.715997,0.791473,0.79979,-0.008317,-41.600699,,,309.117
340,-0.569274,-0.684959,-0.677145,-0.007814,-42.143067,,,-155.277
341,-1.578074,0.564597,0.572781,-0.008185,-41.740086,,,-1354.368
342,-0.78919,-0.593326,-0.587281,-0.006046,-44.371295,,,-190.995
343,-0.151308,-0.476059,-0.472757,-0.003301,-49.62614,,,150.111
344,0.312643,0.630846,0.62802,0.002826,-50.976715,,,961.722
345,0.044346,-0.603905,-0.606879,0.002974,-50.533232,,,-596.475
346,-2.187979,-1.170772,-1.172524,0.001752,-55.129182,,,1401.202
347,0.395828,0.220911,0.215769,0.005142,-45.776578,,,1352.543
348,0.568942,-0.019282,-0.023897,0.004615,-46.716394,,,710.808
349,-0.585587,0.385245,0.382131,0.003114,-50.134663,,,-1488.626
350,0.846401,-0.459731,-0.463099,0.003368,-49.452245,,,414.501
351,-2.176101,-1.422026,-1.423622,0.001596,-55.93687,,,116.788
352,-1.406859,1.052728,1.057399,-0.004671,-46.61128,,,-1098.76
353,-0.720075,0.204887,0.21104,-0.006153,-44.218675,,,-1285.389
354,0.39578,-0.691546,-0.685722,-0.005824,-44.695837,,,786.3
355,0.475417,0.860046,0.866675,-0.006628,-43.571736,,,-475.224
356,1.642076,-2.315697,-2.310957,-0.00474,-46.484299,,,-483.458
357,0.499978,0.152519,0.15634,-0.003821,-48.35719,,,-611.569
358,1.264616,-0.261813,-0.26217,0.000357,-68.947828,,,-636.573
359,-0.110069,0.716246,0.711027,0.005219,-45.648623,,,-32.742
360,-0.17259,0.108908,0.105121,0.003787,-48.433794,,,-744.244
361,-0.175171,1.27425,1.269575,0.004674,-46.60608,,,-599.362
362,-0.303359,-0.481101,-0.48385,0.002749,-51.215008,,,-362.892
363,-1.856834,1.10814,1.111782,-0.003642,-48.774135,,,-1166.184
364,-0.362589,-1.076007,-1.071433,-0.004574,-46.794843,,,746.404
365,-0.043078,0.479486,0.487047,-0.007561,-42.428059,,,355.228
366,-0.981233,-0.46374,-0.456264,-0.007476,-42.526186,,,-843.989
367,-0.580919,-0.024091,-0.020865,-0.003226,-49.827683,,,-853.989
368,-0.273745,-1.440679,-1.43709,-0.003589,-48.899749,,,458.853
369,0.751336,0.627173,0.62733,-0.000157,-76.063186,,,-500.493
370,0.592965,-0.287778,-0.292862,0.005084,-45.875391,,,1441.115
371,-0.012101,-0.403708,-0.407025,0.003317,-49.585444,,,-184.333
372,2.172717,-0.303942,-0.310835,0.006893,-43.232459,,,528.807
373,0.187536,0.323907,0.319163,0.004743,-46.478491,,,321.719
