番号,誤差,誤差10log10(e^2),白色信号
8398,0.000889,-30.511802,1.571928
8399,0.001050,-29.790129,0.303922
8400,0.000118,-39.282131,-0.090560
8401,0.000809,-30.920894,1.219173
8402,0.000015,-48.215667,-0.266550
8403,0.000560,-32.520853,-0.658014
8404,0.001450,-28.385111,1.391825
8405,0.000302,-35.205630,1.263183
8406,0.000680,-31.671905,0.079032
8407,0.000035,-44.600499,-0.267640
8408,0.000745,-31.279975,1.057122
8409,0.002802,-25.525566,-0.601325
8410,0.000025,-46.052443,-0.124325
8411,0.000010,-50.068694,-0.927378
8412,0.000136,-38.666234,-1.733532
8413,0.000125,-39.014314,0.443390
8414,0.001855,-27.315782,0.897045
8415,0.000805,-30.940328,-1.370606
8416,0.000047,-43.293769,-0.782729
8417,0.000083,-40.827872,-0.607787
8418,0.000216,-36.657514,0.380643
8419,0.001157,-29.366140,-0.700935
8420,0.004402,-23.563610,1.642988
8421,0.000061,-42.140050,1.196199
8422,0.000203,-36.933121,0.781494
8423,0.000270,-35.683121,-0.722201
8424,0.001311,-28.824476,0.370694
8425,0.000628,-32.021811,1.330291
8426,0.000446,-33.505456,1.134293
8427,0.000960,-30.175551,-1.425013
8428,0.000423,-33.739271,-0.735495
8429,0.000702,-31.536247,0.117918
8430,0.000027,-45.692503,0.631502
8431,0.001824,-27.389293,-1.675314
8432,0.003584,-24.455801,0.610301
8433,0.000043,-43.639382,0.231702
8434,0.000506,-32.956435,-1.946136
8435,0.000214,-36.693492,-0.595005
8436,0.003109,-25.073822,0.782654
8437,0.001204,-29.194853,0.843664
8438,0.000107,-39.706271,-0.511390
8439,0.000283,-35.480737,-0.698911
8440,0.000216,-36.656670,0.508741
8441,0.000253,-35.964060,1.061269
8442,0.000097,-40.122463,0.665672
8443,0.000654,-31.841854,1.113445
8444,0.000331,-34.804254,0.355744
8445,0.001527,-28.160997,-0.470237
8446,0.000517,-32.865547,1.529400
8447,0.000014,-48.629041,0.260364
8448,0.000082,-40.874737,0.076650
8449,0.000011,-49.725638,0.882592
8450,0.002349,-26.290604,1.229797
8451,0.000291,-35.362166,1.531123
8452,0.000106,-39.756444,-0.144708
8453,0.000394,-34.042357,-0.221461
8454,0.000052,-42.822962,-0.884293
8455,0.000073,-41.390462,1.036261
8456,0.000085,-40.705362,1.512025
8457,0.000247,-36.072169,0.423224
8458,0.000000,-70.741732,-0.509322
8459,0.000008,-50.987035,-0.184943
8460,0.000348,-34.586636,0.300840
8461,0.000242,-36.160644,0.399704
8462,0.000277,-35.582409,-0.153927
8463,0.000012,-49.078015,0.108571
8464,0.000374,-34.272531,-0.841734
8465,0.000000,-85.470634,0.467867
8466,0.000333,-34.775057,1.196728
8467,0.000257,-35.894124,-0.545297
8468,0.000122,-39.144671,-0.483866
8469,0.003195,-24.954817,2.045544
8470,0.000421,-33.756169,-0.050041
8471,0.000523,-32.815008,0.255297
8472,0.000798,-30.981325,-0.010462
8473,0.000215,-36.677578,0.905397
8474,0.000554,-32.561464,1.694856
8475,0.000379,-34.211970,-0.026650
8476,0.000101,-39.957326,-0.406282
8477,0.000145,-38.387666,-0.077535
8478,0.001430,-28.447055,-0.647166
8479,0.000586,-32.319567,-0.994856
8480,0.000328,-34.838015,-0.037670
8481,0.000307,-35.131452,0.898328
8482,0.000242,-36.169025,-0.221049
8483,0.001384,-28.589064,1.089031
8484,0.000022,-46.560427,-0.183725
8485,0.000014,-48.693989,0.185484
8486,0.000013,-48.968463,0.996248
8487,0.000256,-35.914703,-2.131233
8488,0.000287,-35.426491,0.288661
8489,0.000202,-36.942665,-0.106226
8490,0.000229,-36.401558,-0.118502
8491,0.000027,-45.746251,0.609619
8492,0.002518,-25.990227,0.811520
8493,0.000429,-33.670960,0.036420
8494,0.000272,-35.662043,-1.195824
8495,0.000954,-30.206206,1.388158
8496,0.000192,-37.166606,0.231856
8497,0.000172,-37.648435,1.852907
8498,0.000003,-54.634669,-0.364185
8499,0.001368,-28.638102,0.223184
8500,0.000300,-35.225706,1.303409
8501,0.000002,-57.545214,-0.409130
8502,0.000277,-35.582807,0.689470
8503,0.000066,-41.819476,-2.030926
8504,0.001273,-28.952436,-0.786210
8505,0.001423,-28.467511,-2.151826
8506,0.000037,-44.269144,-0.322292
8507,0.000775,-31.106515,-0.723928
8508,0.000624,-32.045354,-0.807298
8509,0.000310,-35.079705,1.413344
8510,0.001617,-27.913661,-0.025823
8511,0.000936,-30.285850,-1.181185
8512,0.000292,-35.343706,0.048663
8513,0.000039,-44.060697,-0.866037
8514,0.001027,-29.882826,-0.189493
8515,0.000000,-77.909540,-0.716468
8516,0.000004,-54.304568,-1.048896
8517,0.000138,-38.590431,-0.295729
8518,0.000887,-30.518703,0.959521
8519,0.000180,-37.445786,-0.158449
8520,0.000503,-32.983987,0.441313
8521,0.000245,-36.112622,-1.709998
8522,0.000419,-33.781759,1.143291
8523,0.000101,-39.938486,2.030783
8524,0.000186,-37.298891,-1.170107
8525,0.001435,-28.431949,-2.309078
8526,0.004884,-23.112481,1.196675
8527,0.003910,-24.078642,-0.851855
8528,0.000001,-62.887625,0.334887
8529,0.000396,-34.027904,-0.994272
8530,0.001590,-27.987351,0.424986
8531,0.001568,-28.047136,0.805668
8532,0.000264,-35.791974,-1.260533
8533,0.000524,-32.802601,0.193188
8534,0.002490,-26.037165,1.111828
8535,0.000710,-31.488300,1.045945
